,<bytes_The_Merry_Heart>,<traf_The_Merry_Heart>,bratio_Happy_Alchemy,bratio_Murther_and_Walking_Spirits,bratio_Robertson_Davies,bratio_The_Cunning_Man,bratio_Toronto_Trilogy,traf_Happy_Alchemy,traf_Murther_and_Walking_Spirits,traf_Robertson_Davies,traf_The_Cunning_Man,traf_Toronto_Trilogy
2008/10/22/21,22692,2,0.7282302132910277,0.948572184029614,4.229640401903755,1.2752952582407897,0.9570333157059757,1,1,5,2,1
2008/10/23/11,16447,1,1.00480330759409,1.3088101173466287,1.0584909101963884,1.2931233659633976,1.3210311910986805,1,1,1,1,1
2008/10/25/08,16925,1,1.0055539143279173,1.3012112259970459,8.804017725258493,1.2681240768094535,1.2944165435745938,1,1,9,1,1
2008/10/26/22,6269,1,1.0060615728186313,1.2577763598660074,27.949752751635028,2.482214069229542,1.2156643802839369,1,1,11,2,1
2008/10/30/00,17200,1,1.9945348837209302,1.2959883720930232,5.377848837209302,2.1737790697674417,1.7394767441860466,2,1,14,3,2
