,<bytes_David_Dundas_(soldier)>,<traf_David_Dundas_(soldier)>,bratio_Commander-in-Chief_of_the_Forces,bratio_James_Kempt,"bratio_Prince_Frederick,_Duke_of_York_and_Albany",traf_Commander-in-Chief_of_the_Forces,traf_James_Kempt,"traf_Prince_Frederick,_Duke_of_York_and_Albany"
2008/10/06/17,10197,1,2.5751691674021773,1.0940472688045504,26.58821221928018,6,1,5
2008/10/10/21,10381,1,0.8065696946344283,3.3131682882188613,66.00539447066757,1,1,8
2008/10/14/20,10244,1,0.8174541194845764,1.1168488871534556,32.08658727059742,1,2,8
2008/10/16/02,10237,1,0.7998437042102179,1.0722868027742503,11.14662498778939,1,1,4
2008/10/18/17,10249,1,3.201092789540443,1.089179432139721,16.780076104985852,4,1,6
2008/10/18/23,10959,2,1.544027739757277,2.0372296742403506,26.284697508896798,3,2,13
2008/10/30/10,10502,1,0.8697390973147971,1.0642734717196725,20.445153304132546,3,1,3
