	<bytes_Airsoft_guns>	<traf_Airsoft_guns>	bratio_Airscrew	bratio_Airship	traf_Airscrew	traf_Airship
2009/08/26/23	459978	20	0.037745283470079	5.065957502315328	1	33
2009/08/28/23	748342	21	0.04486317753112882	2.456302065098578	2	38
